entity_name,entity_number,description,category
&perp;,&#8869;,Perpendicular,Math
&sdot;,&#8901;,Dot operator,Math
&Alpha;,&#913;,Alpha,Greek Letters
&Beta;,&#914;,Beta,Greek Letters
&Gamma;,&#915;,Gamma,Greek Letters
&Delta;,&#916;,Delta,Greek Letters
&Epsilon;,&#917;,Epsilon,Greek Letters
&Zeta;,&#918;,Zeta,Greek Letters
&Eta;,&#919;,Eta,Greek Letters
&Theta;,&#920;,Theta,Greek Letters
&Iota;,&#921;,Iota,Greek Letters
&Kappa;,&#922;,Kappa,Greek Letters
&Lambda;,&#923;,Lambda,Greek Letters
&Mu;,&#924;,Mu,Greek Letters
&Nu;,&#925;,Nu,Greek Letters
&Xi;,&#926;,Xi,Greek Letters
&Omicron;,&#927;,Omicron,Greek Letters
&Pi;,&#928;,Pi,Greek Letters
&Rho;,&#929;,Rho,Greek Letters
&Sigma;,&#931;,Sigma,Greek Letters
&Tau;,&#932;,Tau,Greek Letters
&Upsilon;,&#933;,Upsilon,Greek Letters
&Phi;,&#934;,Phi,Greek Letters
&Chi;,&#935;,Chi,Greek Letters
&Psi;,&#936;,Psi,Greek Letters
&Omega;,&#937;,Omega,Greek Letters
&alpha;,&#945;,alpha,Greek Letters
&beta;,&#946;,beta,Greek Letters
&gamma;,&#947;,gamma,Greek Letters
&delta;,&#948;,delta,Greek Letters
&epsilon;,&#949;,epsilon,Greek Letters
&zeta;,&#950;,zeta,Greek Letters
&eta;,&#951;,eta,Greek Letters
&theta;,&#952;,theta,Greek Letters
&iota;,&#953;,iota,Greek Letters
&kappa;,&#954;,kappa,Greek Letters
&lambda;,&#955;,lambda,Greek Letters
&mu;,&#956;,mu,Greek Letters
&nu;,&#957;,nu,Greek Letters
&xi;,&#958;,xi,Greek Letters
&omicron;,&#959;,omicron,Greek Letters
&pi;,&#960;,pi,Greek Letters
&rho;,&#961;,rho,Greek Letters
&sigmaf;,&#962;,sigmaf,Greek Letters
&sigma;,&#963;,sigma,Greek Letters
&tau;,&#964;,tau,Greek Letters
&upsilon;,&#965;,upsilon,Greek Letters
&phi;,&#966;,phi,Greek Letters
&chi;,&#967;,chi,Greek Letters
&psi;,&#968;,psi,Greek Letters
&omega;,&#969;,omega,Greek Letters
&thetasym;,&#977;,Theta symbol,Greek Letters
&upsih;,&#978;,Upsilon symbol,Greek Letters
&piv;,&#982;,Pi symbol,Greek Letters
&OElig;,&#338;,Uppercase ligature OE,Miscellaneous
&oelig;,&#339;,Lowercase ligature OE,Miscellaneous
&Scaron;,&#352;,Uppercase S with caron,Miscellaneous
&scaron;,&#353;,Lowercase S with caron,Miscellaneous
&Yuml;,&#376;,Capital Y with diaeres,Miscellaneous
&fnof;,&#402;,Lowercase with hook or Function Italic F,"Miscellaneous ,Math"
&circ;,&#710;,Circumflex accent,Miscellaneous
&tilde;,&#732;,Tilde,Miscellaneous
&ensp;,&#8194;,En space,Miscellaneous
&emsp;,&#8195;,Em space,Miscellaneous
&thinsp;,&#8201;,Thin space,Miscellaneous
&zwnj;,&#8204;,Zero width non-joiner,Miscellaneous
&zwj;,&#8205;,Zero width joiner,Miscellaneous
&lrm;,&#8206;,Left-to-right mark,Miscellaneous
&rlm;,&#8207;,Right-to-left mark,Miscellaneous
&ndash;,&#8211;,En dash,Dashes
&mdash;,&#8212;,Em dash,Dashes
&lsquo;,&#8216;,Left single quotation mark,Miscellaneous
&rsquo;,&#8217;,Right single quotation mark,Miscellaneous
&sbquo;,&#8218;,Single low-9 quotation mark,Miscellaneous
&ldquo;,&#8220;,Left double quotation mark,Miscellaneous
&rdquo;,&#8221;,Right double quotation mark,Miscellaneous
&bdquo;,&#8222;,Double low-9 quotation mark,Miscellaneous
&dagger;,&#8224;,Dagger,Miscellaneous
&Dagger;,&#8225;,Double dagger,Miscellaneous
